instantane_utc,stations,part_vides,part_pleines
2026-09-22 14:12:59,52,0.1538,0.0
2026-09-22 14:13:59,52,0.1538,0.0
2026-09-22 14:14:59,52,0.1538,0.0
2026-09-22 14:15:59,52,0.1538,0.0
2026-09-22 14:17:00,52,0.1538,0.0
2026-09-22 14:18:00,52,0.1538,0.0
2026-09-22 14:19:00,52,0.1538,0.0
2026-09-22 14:20:00,52,0.1538,0.0
2026-09-22 14:21:01,52,0.1538,0.0
2026-09-22 14:22:01,52,0.1538,0.0
2026-09-22 14:23:01,52,0.1538,0.0
2026-09-22 14:24:02,52,0.1538,0.0
2026-09-22 14:25:02,52,0.1538,0.0
2026-09-22 14:26:02,52,0.1538,0.0
2026-09-22 14:27:02,52,0.1538,0.0
2026-09-22 14:28:03,52,0.1538,0.0
2026-09-22 14:29:03,52,0.1538,0.0
2026-09-22 14:30:03,52,0.1538,0.0
2026-09-22 14:31:03,52,0.1538,0.0
2026-09-22 14:32:05,52,0.1538,0.0
2026-09-22 14:33:09,52,0.1538,0.0
2026-09-22 14:34:09,52,0.1538,0.0
2026-09-22 14:35:09,52,0.1538,0.0
2026-09-22 14:36:10,52,0.1538,0.0
2026-09-22 14:37:10,52,0.1538,0.0
2026-09-22 14:38:10,52,0.1731,0.0
2026-09-22 14:39:10,52,0.1731,0.0
2026-09-22 14:40:11,52,0.1731,0.0
2026-09-22 14:41:11,52,0.1731,0.0
2026-09-22 14:42:11,52,0.1731,0.0
2026-09-22 14:43:11,52,0.1731,0.0
2026-09-22 14:44:12,52,0.1731,0.0
2026-09-22 14:45:12,52,0.1731,0.0
2026-09-22 14:46:13,52,0.1731,0.0
2026-09-22 14:47:13,52,0.1731,0.0
2026-09-22 14:48:13,52,0.1731,0.0
2026-09-22 14:49:14,52,0.1731,0.0
2026-09-22 14:50:14,52,0.1731,0.0
2026-09-22 14:51:14,52,0.1731,0.0
2026-09-22 14:52:14,52,0.1731,0.0
2026-09-22 14:53:15,52,0.1731,0.0
2026-09-22 14:54:15,52,0.1731,0.0
2026-09-22 14:55:15,52,0.1538,0.0
2026-09-22 14:56:16,52,0.1538,0.0
2026-09-22 14:57:16,52,0.1538,0.0
2026-09-22 14:58:16,52,0.1538,0.0
2026-09-22 14:59:16,52,0.1538,0.0
2026-09-22 15:00:17,52,0.1538,0.0
2026-09-22 15:01:17,52,0.1538,0.0
2026-09-22 15:02:17,52,0.1538,0.0
2026-09-22 15:03:18,52,0.1538,0.0
2026-09-22 15:04:18,52,0.1538,0.0
2026-09-22 15:05:18,52,0.1538,0.0
2026-09-22 15:06:19,52,0.1538,0.0
2026-09-22 15:07:19,52,0.1538,0.0
2026-09-22 15:08:19,52,0.1538,0.0
2026-09-22 15:09:19,52,0.1538,0.0
2026-09-22 15:10:19,52,0.1538,0.0
2026-09-22 15:11:20,52,0.1538,0.0
2026-09-22 15:12:20,52,0.1538,0.0
2026-09-22 15:13:21,52,0.1538,0.0
2026-09-22 15:14:21,52,0.1538,0.0
2026-09-22 15:15:21,52,0.1538,0.0
2026-09-22 15:16:21,52,0.1538,0.0
2026-09-22 15:17:22,52,0.1538,0.0
2026-09-22 15:18:22,52,0.1538,0.0
2026-09-22 15:19:22,52,0.1538,0.0
2026-09-22 15:20:22,52,0.1538,0.0
2026-09-22 15:21:22,52,0.1538,0.0
2026-09-22 15:22:23,52,0.1538,0.0
2026-09-22 15:23:23,52,0.1538,0.0
2026-09-22 15:24:23,52,0.1346,0.0
2026-09-22 15:25:24,52,0.1346,0.0
2026-09-22 15:26:24,52,0.1346,0.0
2026-09-22 15:27:24,52,0.1346,0.0
2026-09-22 15:28:24,52,0.1346,0.0
2026-09-22 15:29:25,52,0.1346,0.0
2026-09-22 15:30:25,52,0.1346,0.0
2026-09-22 15:31:25,52,0.1346,0.0
2026-09-22 15:32:25,52,0.1346,0.0
2026-09-22 15:33:26,52,0.1346,0.0
2026-09-22 15:34:26,52,0.1346,0.0
2026-09-22 15:35:26,52,0.1346,0.0
2026-09-22 15:36:26,52,0.1346,0.0
2026-09-22 15:37:27,52,0.1346,0.0
2026-09-22 15:38:27,52,0.1346,0.0
2026-09-22 15:39:27,52,0.1346,0.0
2026-09-22 15:40:28,52,0.1346,0.0
2026-09-22 15:41:28,52,0.1346,0.0
2026-09-22 15:42:28,52,0.1346,0.0
2026-09-22 15:43:28,52,0.1346,0.0
2026-09-22 15:44:29,52,0.1346,0.0
2026-09-22 15:45:29,52,0.1346,0.0
2026-09-22 15:46:29,52,0.1346,0.0
2026-09-22 15:47:29,52,0.1346,0.0
2026-09-22 15:48:30,52,0.1538,0.0
2026-09-22 15:49:30,52,0.1538,0.0
2026-09-22 15:50:30,52,0.1346,0.0
2026-09-22 15:51:30,52,0.1346,0.0
2026-09-22 15:52:31,52,0.1346,0.0
2026-09-22 15:53:31,52,0.1346,0.0
2026-09-22 15:54:31,52,0.1346,0.0
2026-09-22 15:55:31,52,0.1346,0.0
2026-09-22 15:56:32,52,0.1346,0.0
